,RI
1994-12-01,
1994-12-02,
1994-12-05,
1994-12-06,
1994-12-07,
1994-12-08,
1994-12-09,
1994-12-12,
1994-12-13,
1994-12-14,
1994-12-15,
1994-12-16,
1994-12-19,
1994-12-20,
1994-12-21,
1994-12-22,
1994-12-23,
1994-12-26,
1994-12-27,
1994-12-28,
1994-12-29,
1994-12-30,95.23
1995-01-02,95.23
1995-01-03,93.87
1995-01-04,93.94
1995-01-05,93.95
1995-01-06,94.11
1995-01-09,94.3
1995-01-10,94.59
1995-01-11,94.17
1995-01-12,94.29
1995-01-13,94.97
1995-01-16,95.81
1995-01-17,96.3
1995-01-18,96.09
1995-01-19,95.41
1995-01-20,94.99
1995-01-23,94.41
1995-01-24,94.93
1995-01-25,94.77
1995-01-26,94.53
1995-01-27,94.73
1995-01-30,93.79
1995-01-31,93.88
1995-02-01,94.26
1995-02-02,94.77
1995-02-03,95.79
1995-02-06,96.47
1995-02-07,96.65
1995-02-08,97.02
1995-02-09,97.25
1995-02-10,97.65
1995-02-13,97.79
1995-02-14,97.65
1995-02-15,98.52
1995-02-16,97.91
1995-02-17,97.36
1995-02-20,97.36
1995-02-21,97.0
1995-02-22,96.98
1995-02-23,97.41
1995-02-24,97.49
1995-02-27,96.79
1995-02-28,97.75
1995-03-01,97.63
1995-03-02,97.93
1995-03-03,98.24
1995-03-06,97.81
1995-03-07,97.14
1995-03-08,97.26
1995-03-09,97.23
1995-03-10,97.74
1995-03-13,97.83
1995-03-14,98.28
1995-03-15,98.22
1995-03-16,98.69
1995-03-17,98.3
1995-03-20,98.74
1995-03-21,98.39
1995-03-22,98.08
1995-03-23,98.37
1995-03-24,98.88
1995-03-27,99.41
1995-03-28,99.64
1995-03-29,99.44
1995-03-30,99.46
1995-03-31,99.73
1995-04-03,100.0
1995-04-04,99.75
1995-04-05,99.98
1995-04-06,99.91
1995-04-07,99.42
1995-04-10,100.16
1995-04-11,100.64
1995-04-12,100.84
1995-04-13,101.02
1995-04-14,101.02
1995-04-17,100.98
1995-04-18,100.65
1995-04-19,99.67
1995-04-20,100.0
1995-04-21,100.45
1995-04-24,100.86
1995-04-25,101.15
1995-04-26,101.46
1995-04-27,101.93
1995-04-28,101.96
1995-05-01,101.94
1995-05-02,101.84
1995-05-03,102.02
1995-05-04,101.51
1995-05-05,101.52
1995-05-08,102.0
1995-05-09,101.92
1995-05-10,102.3
1995-05-11,103.0
1995-05-12,103.12
1995-05-15,103.56
1995-05-16,104.23
1995-05-17,104.42
1995-05-18,103.64
1995-05-19,103.47
1995-05-22,104.17
1995-05-23,104.75
1995-05-24,104.64
1995-05-25,104.35
1995-05-26,103.74
1995-05-29,103.74
1995-05-30,103.25
1995-05-31,103.55
1995-06-01,104.17
1995-06-02,104.6
1995-06-05,105.42
1995-06-06,105.54
1995-06-07,105.64
1995-06-08,105.98
1995-06-09,105.73
1995-06-12,106.42
1995-06-13,107.28
1995-06-14,107.52
1995-06-15,108.05
1995-06-16,108.27
1995-06-19,108.87
1995-06-20,108.94
1995-06-21,108.98
1995-06-22,109.68
1995-06-23,109.58
1995-06-26,108.31
1995-06-27,107.85
